Date,open,high,low,close,adjclose,volume,ingested_at_utc
2016-03-08,145000.0,149500.0,145000.0,148000.0,105291.9609375,366489,2026-02-21 06:47:26.527494+00:00
2016-03-09,147000.0,149500.0,146500.0,149500.0,106359.1015625,452965,2026-02-21 06:47:26.527494+00:00
2016-03-10,149000.0,150000.0,148000.0,148000.0,105291.9609375,690061,2026-02-21 06:47:26.527494+00:00
2016-03-11,147500.0,150000.0,147500.0,149000.0,106003.421875,408175,2026-02-21 06:47:26.527494+00:00
2016-03-14,150000.0,150500.0,147000.0,148500.0,105647.671875,362075,2026-02-21 06:47:26.527494+00:00
2016-03-15,148500.0,149000.0,146000.0,147000.0,104580.53125,309077,2026-02-21 06:47:26.527494+00:00
2016-03-16,147000.0,148000.0,145500.0,146500.0,104224.8359375,206136,2026-02-21 06:47:26.527494+00:00
2016-03-17,148000.0,148500.0,146000.0,146500.0,104224.8359375,492380,2026-02-21 06:47:26.527494+00:00
2016-03-18,148000.0,150500.0,147500.0,150500.0,107070.5625,769047,2026-02-21 06:47:26.527494+00:00
2016-03-21,151000.0,155000.0,149500.0,154500.0,109916.3125,803657,2026-02-21 06:47:26.527494+00:00
2016-03-22,155500.0,159000.0,155000.0,159000.0,113117.7265625,872121,2026-02-21 06:47:26.527494+00:00
2016-03-23,159500.0,159500.0,157000.0,158000.0,112406.2890625,454762,2026-02-21 06:47:26.527494+00:00
2016-03-24,156500.0,157000.0,154500.0,155500.0,110627.7109375,288522,2026-02-21 06:47:26.527494+00:00
2016-03-25,154500.0,155500.0,152000.0,153000.0,108849.125,279961,2026-02-21 06:47:26.527494+00:00
2016-03-28,153000.0,156500.0,152000.0,154000.0,109560.59375,186865,2026-02-21 06:47:26.527494+00:00
2016-03-29,155000.0,156000.0,153500.0,155000.0,110271.9765625,229075,2026-02-21 06:47:26.527494+00:00
2016-03-30,156000.0,159000.0,155000.0,155500.0,110627.7109375,373060,2026-02-21 06:47:26.527494+00:00
2016-03-31,156000.0,156000.0,151500.0,152500.0,108493.453125,575626,2026-02-21 06:47:26.527494+00:00
2016-04-01,152500.0,152500.0,147500.0,149500.0,106359.1015625,604435,2026-02-21 06:47:26.527494+00:00
2016-04-04,148500.0,149500.0,143500.0,144000.0,102446.2578125,767267,2026-02-21 06:47:26.527494+00:00
2016-04-05,144000.0,145000.0,143500.0,144500.0,102801.9375,292339,2026-02-21 06:47:26.527494+00:00
2016-04-06,144000.0,146000.0,144000.0,144000.0,102446.2578125,379789,2026-02-21 06:47:26.527494+00:00
2016-04-07,143500.0,146500.0,143500.0,146500.0,104224.8359375,366852,2026-02-21 06:47:26.527494+00:00
2016-04-08,146000.0,146500.0,144000.0,146000.0,103869.09375,339546,2026-02-21 06:47:26.527494+00:00
